# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

266000, 56.0, 41.0, 3.0, 0.0
267000, 56.0, 42.0, 2.0, 0.0
268000, 55.0, 45.0, 0.0, 0.0
269000, 59.0, 40.0, 1.0, 0.0
270000, 62.0, 35.0, 3.0, 0.0
271000, 54.0, 44.0, 2.0, 0.0
272000, 62.0, 33.0, 5.0, 0.0
273000, 61.0, 37.0, 2.0, 0.0
274000, 55.0, 43.0, 2.0, 0.0
275000, 61.0, 39.0, 0.0, 0.0
276000, 57.0, 42.0, 1.0, 0.0
277000, 61.0, 38.0, 1.0, 0.0
278000, 57.0, 42.0, 1.0, 0.0
279000, 57.0, 41.0, 2.0, 0.0
280000, 62.0, 37.0, 1.0, 0.0
281000, 61.0, 38.0, 1.0, 0.0
282000, 56.0, 41.0, 3.0, 0.0
283000, 61.0, 39.0, 0.0, 0.0
284000, 65.0, 33.0, 2.0, 0.0
285000, 63.0, 34.0, 3.0, 0.0
286000, 58.0, 42.0, 0.0, 0.0
287000, 61.0, 38.0, 1.0, 0.0
288000, 62.0, 37.0, 1.0, 0.0
289000, 53.0, 47.0, 0.0, 0.0
290000, 59.0, 40.0, 1.0, 0.0
291000, 56.0, 42.0, 2.0, 0.0
292000, 64.0, 36.0, 0.0, 0.0
293000, 58.0, 37.0, 5.0, 0.0
294000, 48.0, 46.0, 6.0, 0.0
295000, 56.0, 44.0, 0.0, 0.0
296000, 61.0, 38.0, 1.0, 0.0
297000, 52.0, 46.0, 2.0, 0.0
298000, 63.0, 34.0, 3.0, 0.0
299000, 49.0, 49.0, 2.0, 0.0
300000, 63.0, 35.0, 2.0, 0.0
301000, 60.0, 38.0, 2.0, 0.0
302000, 65.0, 32.0, 3.0, 0.0
303000, 61.0, 38.0, 1.0, 0.0
304000, 62.0, 37.0, 1.0, 0.0
305000, 63.0, 37.0, 0.0, 0.0
306000, 56.0, 41.0, 3.0, 0.0
307000, 64.0, 34.0, 2.0, 0.0
308000, 60.0, 38.0, 2.0, 0.0
309000, 61.0, 37.0, 2.0, 0.0
310000, 58.0, 42.0, 0.0, 0.0
311000, 52.0, 48.0, 0.0, 0.0
312000, 61.0, 35.0, 4.0, 0.0
313000, 65.0, 34.0, 1.0, 0.0
314000, 56.0, 43.0, 1.0, 0.0
315000, 62.0, 33.0, 5.0, 0.0
316000, 62.0, 37.0, 1.0, 0.0
317000, 63.0, 34.0, 3.0, 0.0
318000, 55.0, 44.0, 1.0, 0.0
319000, 65.0, 34.0, 1.0, 0.0
320000, 61.0, 38.0, 1.0, 0.0
321000, 66.0, 34.0, 0.0, 0.0
322000, 58.0, 38.0, 4.0, 0.0
323000, 59.0, 36.0, 5.0, 0.0
324000, 73.0, 23.0, 4.0, 0.0
325000, 50.0, 49.0, 1.0, 0.0
326000, 61.0, 36.0, 3.0, 0.0
327000, 52.0, 46.0, 2.0, 0.0
328000, 65.0, 32.0, 3.0, 0.0
329000, 66.0, 31.0, 3.0, 0.0
330000, 61.0, 35.0, 4.0, 0.0
331000, 55.0, 45.0, 0.0, 0.0
332000, 70.0, 28.0, 2.0, 0.0
333000, 64.0, 34.0, 2.0, 0.0
334000, 56.0, 43.0, 1.0, 0.0
335000, 62.0, 33.0, 5.0, 0.0
336000, 66.0, 32.0, 2.0, 0.0
337000, 68.0, 29.0, 3.0, 0.0
338000, 65.0, 34.0, 1.0, 0.0
339000, 57.0, 40.0, 3.0, 0.0
340000, 58.0, 39.0, 3.0, 0.0
341000, 68.0, 32.0, 0.0, 0.0
342000, 69.0, 30.0, 1.0, 0.0
343000, 55.0, 43.0, 2.0, 0.0
344000, 50.0, 45.0, 5.0, 0.0
345000, 60.0, 37.0, 3.0, 0.0
346000, 66.0, 32.0, 2.0, 0.0
347000, 57.0, 41.0, 2.0, 0.0
348000, 64.0, 36.0, 0.0, 0.0
349000, 67.0, 31.0, 2.0, 0.0
350000, 53.0, 44.0, 3.0, 0.0
351000, 58.0, 39.0, 3.0, 0.0
352000, 54.0, 45.0, 1.0, 0.0
353000, 55.0, 43.0, 2.0, 0.0
354000, 59.0, 40.0, 1.0, 0.0
355000, 55.0, 43.0, 2.0, 0.0
356000, 62.0, 37.0, 1.0, 0.0
357000, 53.0, 44.0, 3.0, 0.0
358000, 55.0, 41.0, 4.0, 0.0
359000, 67.0, 32.0, 1.0, 0.0
360000, 56.0, 42.0, 2.0, 0.0
361000, 67.0, 31.0, 2.0, 0.0
362000, 58.0, 40.0, 2.0, 0.0
363000, 66.0, 33.0, 1.0, 0.0
364000, 56.0, 42.0, 2.0, 0.0
365000, 71.0, 25.0, 4.0, 0.0
366000, 62.0, 37.0, 1.0, 0.0
367000, 56.0, 42.0, 2.0, 0.0
368000, 58.0, 39.0, 3.0, 0.0
369000, 62.0, 33.0, 5.0, 0.0
370000, 62.0, 38.0, 0.0, 0.0
371000, 61.0, 38.0, 1.0, 0.0
372000, 59.0, 40.0, 1.0, 0.0
373000, 57.0, 42.0, 1.0, 0.0
374000, 66.0, 33.0, 1.0, 0.0
375000, 55.0, 43.0, 2.0, 0.0
376000, 61.0, 39.0, 0.0, 0.0
377000, 59.0, 38.0, 3.0, 0.0
378000, 63.0, 35.0, 2.0, 0.0
379000, 64.0, 35.0, 1.0, 0.0
380000, 60.0, 38.0, 2.0, 0.0
381000, 58.0, 40.0, 2.0, 0.0
382000, 55.0, 44.0, 1.0, 0.0
383000, 58.0, 41.0, 1.0, 0.0
384000, 54.0, 44.0, 2.0, 0.0
385000, 56.0, 41.0, 3.0, 0.0
386000, 62.0, 37.0, 1.0, 0.0
387000, 61.0, 36.0, 3.0, 0.0
388000, 60.0, 37.0, 3.0, 0.0
389000, 65.0, 34.0, 1.0, 0.0
390000, 52.0, 47.0, 1.0, 0.0
391000, 54.0, 45.0, 1.0, 0.0
392000, 57.0, 41.0, 2.0, 0.0
393000, 54.0, 44.0, 2.0, 0.0
394000, 52.0, 42.0, 6.0, 0.0
395000, 60.0, 39.0, 1.0, 0.0
396000, 60.0, 38.0, 2.0, 0.0
397000, 53.0, 45.0, 2.0, 0.0
398000, 56.0, 43.0, 1.0, 0.0
399000, 60.0, 37.0, 3.0, 0.0
400000, 58.0, 41.0, 1.0, 0.0
401000, 58.0, 39.0, 3.0, 0.0
402000, 68.0, 30.0, 2.0, 0.0
403000, 63.0, 36.0, 1.0, 0.0
404000, 57.0, 41.0, 2.0, 0.0
405000, 44.0, 55.0, 1.0, 0.0
406000, 59.0, 38.0, 3.0, 0.0
407000, 56.0, 41.0, 3.0, 0.0
408000, 67.0, 30.0, 3.0, 0.0
409000, 61.0, 39.0, 0.0, 0.0
410000, 65.0, 33.0, 2.0, 0.0
411000, 65.0, 33.0, 2.0, 0.0
412000, 58.0, 39.0, 3.0, 0.0
413000, 58.0, 36.0, 6.0, 0.0
414000, 55.0, 44.0, 1.0, 0.0
415000, 52.0, 46.0, 2.0, 0.0
416000, 62.0, 37.0, 1.0, 0.0
