# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid
4459000, 78.0, 21.0, 1.0, 0.0
4460000, 78.0, 22.0, 0.0, 0.0
4461000, 81.0, 17.0, 2.0, 0.0
4462000, 69.0, 27.0, 4.0, 0.0
4463000, 73.0, 22.0, 5.0, 0.0
4464000, 74.0, 25.0, 1.0, 0.0
4465000, 76.0, 24.0, 0.0, 0.0
4466000, 69.0, 29.0, 2.0, 0.0
4467000, 77.0, 22.0, 1.0, 0.0
4468000, 72.0, 27.0, 1.0, 0.0
4469000, 77.0, 19.0, 4.0, 0.0
4470000, 74.0, 26.0, 0.0, 0.0
4471000, 77.0, 23.0, 0.0, 0.0
4472000, 79.0, 20.0, 1.0, 0.0
4473000, 68.0, 30.0, 2.0, 0.0
4474000, 73.0, 25.0, 2.0, 0.0
4475000, 68.0, 32.0, 0.0, 0.0
4476000, 68.0, 28.0, 4.0, 0.0
4477000, 80.0, 18.0, 2.0, 0.0
4478000, 70.0, 29.0, 1.0, 0.0
4479000, 70.0, 28.0, 2.0, 0.0
4480000, 75.0, 23.0, 2.0, 0.0
4481000, 85.0, 15.0, 0.0, 0.0
4482000, 71.0, 27.0, 2.0, 0.0
4483000, 74.0, 22.0, 4.0, 0.0
4484000, 69.0, 29.0, 2.0, 0.0
4485000, 73.0, 27.0, 0.0, 0.0
4486000, 70.0, 28.0, 2.0, 0.0
4487000, 77.0, 21.0, 2.0, 0.0
4488000, 78.0, 21.0, 1.0, 0.0
4489000, 72.0, 26.0, 2.0, 0.0
4490000, 77.0, 20.0, 3.0, 0.0
4491000, 68.0, 26.0, 6.0, 0.0
4492000, 70.0, 29.0, 1.0, 0.0
4493000, 73.0, 25.0, 2.0, 0.0
4494000, 77.0, 22.0, 1.0, 0.0
4495000, 72.0, 27.0, 1.0, 0.0
4496000, 72.0, 26.0, 2.0, 0.0
4497000, 77.0, 19.0, 4.0, 0.0
4498000, 71.0, 29.0, 0.0, 0.0
4499000, 74.0, 23.0, 3.0, 0.0
4500000, 77.0, 22.0, 1.0, 0.0
4501000, 68.0, 31.0, 1.0, 0.0
4502000, 83.0, 13.0, 4.0, 0.0
4503000, 71.0, 27.0, 2.0, 0.0
4504000, 80.0, 20.0, 0.0, 0.0
4505000, 81.0, 18.0, 1.0, 0.0
4506000, 65.0, 33.0, 2.0, 0.0
4507000, 74.0, 25.0, 1.0, 0.0
4508000, 76.0, 22.0, 2.0, 0.0
4509000, 72.0, 28.0, 0.0, 0.0
4510000, 77.0, 18.0, 5.0, 0.0
4511000, 78.0, 20.0, 2.0, 0.0
4512000, 83.0, 16.0, 1.0, 0.0
4513000, 68.0, 29.0, 3.0, 0.0
4514000, 75.0, 24.0, 1.0, 0.0
4515000, 74.0, 22.0, 4.0, 0.0
4516000, 69.0, 29.0, 2.0, 0.0
4517000, 79.0, 19.0, 2.0, 0.0
4518000, 76.0, 22.0, 2.0, 0.0
4519000, 73.0, 22.0, 5.0, 0.0
4520000, 74.0, 22.0, 4.0, 0.0
4521000, 68.0, 28.0, 4.0, 0.0
4522000, 75.0, 24.0, 1.0, 0.0
4523000, 70.0, 30.0, 0.0, 0.0
4524000, 75.0, 22.0, 3.0, 0.0
4525000, 73.0, 24.0, 3.0, 0.0
4526000, 76.0, 23.0, 1.0, 0.0
4527000, 71.0, 27.0, 2.0, 0.0
4528000, 65.0, 35.0, 0.0, 0.0
4529000, 71.0, 27.0, 2.0, 0.0
4530000, 80.0, 19.0, 1.0, 0.0
4531000, 77.0, 22.0, 1.0, 0.0
4532000, 76.0, 22.0, 2.0, 0.0
4533000, 74.0, 25.0, 1.0, 0.0
4534000, 76.0, 22.0, 2.0, 0.0
4535000, 75.0, 22.0, 3.0, 0.0
4536000, 69.0, 27.0, 4.0, 0.0
4537000, 74.0, 22.0, 4.0, 0.0
4538000, 63.0, 34.0, 3.0, 0.0
4539000, 75.0, 23.0, 2.0, 0.0
4540000, 72.0, 27.0, 1.0, 0.0
4541000, 68.0, 28.0, 4.0, 0.0
4542000, 79.0, 16.0, 5.0, 0.0
4543000, 72.0, 25.0, 3.0, 0.0
4544000, 69.0, 30.0, 1.0, 0.0
4545000, 69.0, 24.0, 7.0, 0.0
4546000, 79.0, 19.0, 2.0, 0.0
4547000, 69.0, 31.0, 0.0, 0.0
4548000, 72.0, 27.0, 1.0, 0.0
4549000, 78.0, 22.0, 0.0, 0.0
4550000, 71.0, 25.0, 4.0, 0.0
4551000, 64.0, 35.0, 1.0, 0.0
4552000, 69.0, 31.0, 0.0, 0.0
4553000, 81.0, 17.0, 2.0, 0.0
4554000, 75.0, 22.0, 3.0, 0.0
4555000, 61.0, 37.0, 2.0, 0.0
4556000, 61.0, 37.0, 2.0, 0.0
4557000, 75.0, 24.0, 1.0, 0.0
4558000, 71.0, 27.0, 2.0, 0.0
4559000, 69.0, 29.0, 2.0, 0.0
4560000, 74.0, 20.0, 6.0, 0.0
4561000, 74.0, 25.0, 1.0, 0.0
4562000, 71.0, 27.0, 2.0, 0.0
4563000, 76.0, 22.0, 2.0, 0.0
4564000, 79.0, 19.0, 2.0, 0.0
4565000, 71.0, 28.0, 1.0, 0.0
4566000, 69.0, 26.0, 5.0, 0.0
4567000, 69.0, 28.0, 3.0, 0.0
4568000, 71.0, 26.0, 3.0, 0.0
4569000, 71.0, 28.0, 1.0, 0.0
4570000, 82.0, 17.0, 1.0, 0.0
4571000, 71.0, 26.0, 3.0, 0.0
4572000, 68.0, 27.0, 5.0, 0.0
4573000, 72.0, 28.0, 0.0, 0.0
4574000, 70.0, 26.0, 4.0, 0.0
4575000, 72.0, 27.0, 1.0, 0.0
4576000, 70.0, 28.0, 2.0, 0.0
4577000, 79.0, 18.0, 3.0, 0.0
4578000, 75.0, 24.0, 1.0, 0.0
4579000, 73.0, 23.0, 4.0, 0.0
4580000, 75.0, 23.0, 2.0, 0.0
4581000, 76.0, 23.0, 1.0, 0.0
4582000, 76.0, 24.0, 0.0, 0.0
4583000, 69.0, 30.0, 1.0, 0.0
4584000, 70.0, 30.0, 0.0, 0.0
4585000, 75.0, 24.0, 1.0, 0.0
4586000, 69.0, 28.0, 3.0, 0.0
4587000, 69.0, 28.0, 3.0, 0.0
4588000, 80.0, 19.0, 1.0, 0.0
4589000, 71.0, 27.0, 2.0, 0.0
4590000, 74.0, 25.0, 1.0, 0.0
4591000, 70.0, 27.0, 3.0, 0.0
4592000, 75.0, 23.0, 2.0, 0.0
4593000, 75.0, 22.0, 3.0, 0.0
4594000, 74.0, 22.0, 4.0, 0.0
4595000, 71.0, 25.0, 4.0, 0.0
4596000, 76.0, 21.0, 3.0, 0.0
4597000, 71.0, 25.0, 4.0, 0.0
4598000, 82.0, 18.0, 0.0, 0.0
4599000, 88.0, 12.0, 0.0, 0.0
4600000, 69.0, 30.0, 1.0, 0.0
4601000, 76.0, 22.0, 2.0, 0.0
4602000, 78.0, 21.0, 1.0, 0.0
4603000, 70.0, 30.0, 0.0, 0.0
4604000, 71.0, 26.0, 3.0, 0.0
4605000, 69.0, 29.0, 2.0, 0.0
4606000, 76.0, 23.0, 1.0, 0.0
4607000, 68.0, 30.0, 2.0, 0.0
4608000, 71.0, 28.0, 1.0, 0.0
4609000, 73.0, 26.0, 1.0, 0.0
4610000, 71.0, 23.0, 6.0, 0.0
4611000, 72.0, 26.0, 2.0, 0.0
4612000, 74.0, 21.0, 5.0, 0.0
4613000, 79.0, 21.0, 0.0, 0.0
4614000, 71.0, 26.0, 3.0, 0.0
4615000, 69.0, 28.0, 3.0, 0.0
4616000, 66.0, 33.0, 1.0, 0.0
4617000, 73.0, 27.0, 0.0, 0.0
4618000, 67.0, 30.0, 3.0, 0.0
4619000, 80.0, 20.0, 0.0, 0.0
4620000, 66.0, 29.0, 5.0, 0.0
4621000, 74.0, 24.0, 2.0, 0.0
4622000, 72.0, 28.0, 0.0, 0.0
4623000, 74.0, 24.0, 2.0, 0.0
4624000, 76.0, 19.0, 5.0, 0.0
4625000, 76.0, 21.0, 3.0, 0.0
4626000, 73.0, 25.0, 2.0, 0.0
4627000, 70.0, 25.0, 5.0, 0.0
4628000, 72.0, 28.0, 0.0, 0.0
4629000, 72.0, 26.0, 2.0, 0.0
4630000, 73.0, 27.0, 0.0, 0.0
4631000, 75.0, 23.0, 2.0, 0.0
4632000, 70.0, 29.0, 1.0, 0.0
4633000, 74.0, 24.0, 2.0, 0.0
4634000, 72.0, 24.0, 4.0, 0.0
4635000, 63.0, 32.0, 5.0, 0.0
4636000, 68.0, 29.0, 3.0, 0.0
4637000, 70.0, 23.0, 7.0, 0.0
4638000, 70.0, 27.0, 3.0, 0.0
4639000, 76.0, 24.0, 0.0, 0.0
4640000, 86.0, 12.0, 2.0, 0.0
4641000, 71.0, 27.0, 2.0, 0.0
4642000, 66.0, 32.0, 2.0, 0.0
4643000, 76.0, 22.0, 2.0, 0.0
4644000, 70.0, 29.0, 1.0, 0.0
4645000, 72.0, 28.0, 0.0, 0.0
4646000, 73.0, 24.0, 3.0, 0.0
4647000, 71.0, 28.0, 1.0, 0.0
4648000, 70.0, 29.0, 1.0, 0.0
4649000, 73.0, 26.0, 1.0, 0.0
4650000, 74.0, 26.0, 0.0, 0.0
4651000, 76.0, 23.0, 1.0, 0.0
4652000, 79.0, 17.0, 4.0, 0.0
4653000, 73.0, 24.0, 3.0, 0.0
4654000, 68.0, 29.0, 3.0, 0.0
4655000, 74.0, 22.0, 4.0, 0.0
4656000, 68.0, 31.0, 1.0, 0.0
4657000, 73.0, 24.0, 3.0, 0.0
4658000, 72.0, 27.0, 1.0, 0.0
4659000, 76.0, 23.0, 1.0, 0.0
4660000, 64.0, 35.0, 1.0, 0.0
4661000, 70.0, 27.0, 3.0, 0.0
4662000, 71.0, 27.0, 2.0, 0.0
4663000, 70.0, 26.0, 4.0, 0.0
4664000, 75.0, 23.0, 2.0, 0.0
4665000, 74.0, 23.0, 3.0, 0.0
4666000, 69.0, 28.0, 3.0, 0.0
4667000, 78.0, 22.0, 0.0, 0.0
4668000, 74.0, 24.0, 2.0, 0.0
4669000, 66.0, 30.0, 4.0, 0.0
4670000, 71.0, 27.0, 2.0, 0.0
4671000, 66.0, 33.0, 1.0, 0.0
4672000, 71.0, 29.0, 0.0, 0.0
4673000, 66.0, 31.0, 3.0, 0.0
4674000, 75.0, 23.0, 2.0, 0.0
4675000, 74.0, 22.0, 4.0, 0.0
4676000, 74.0, 24.0, 2.0, 0.0
4677000, 71.0, 28.0, 1.0, 0.0
4678000, 69.0, 30.0, 1.0, 0.0
4679000, 70.0, 29.0, 1.0, 0.0
4680000, 79.0, 18.0, 3.0, 0.0
4681000, 72.0, 25.0, 3.0, 0.0
4682000, 72.0, 26.0, 2.0, 0.0
4683000, 67.0, 32.0, 1.0, 0.0
4684000, 70.0, 30.0, 0.0, 0.0
4685000, 79.0, 20.0, 1.0, 0.0
4686000, 76.0, 24.0, 0.0, 0.0
4687000, 72.0, 26.0, 2.0, 0.0
4688000, 74.0, 24.0, 2.0, 0.0
4689000, 72.0, 26.0, 2.0, 0.0
4690000, 71.0, 25.0, 4.0, 0.0
4691000, 67.0, 31.0, 2.0, 0.0
4692000, 71.0, 28.0, 1.0, 0.0
4693000, 68.0, 30.0, 2.0, 0.0
4694000, 68.0, 31.0, 1.0, 0.0
4695000, 68.0, 28.0, 4.0, 0.0
4696000, 76.0, 23.0, 1.0, 0.0
4697000, 69.0, 27.0, 4.0, 0.0
4698000, 74.0, 20.0, 6.0, 0.0
4699000, 71.0, 27.0, 2.0, 0.0
4700000, 73.0, 24.0, 3.0, 0.0
4701000, 72.0, 25.0, 3.0, 0.0
4702000, 67.0, 33.0, 0.0, 0.0
4703000, 76.0, 22.0, 2.0, 0.0
4704000, 70.0, 28.0, 2.0, 0.0
4705000, 73.0, 26.0, 1.0, 0.0
4706000, 78.0, 21.0, 1.0, 0.0
4707000, 75.0, 22.0, 3.0, 0.0
4708000, 72.0, 23.0, 5.0, 0.0
4709000, 70.0, 29.0, 1.0, 0.0
4710000, 77.0, 21.0, 2.0, 0.0
4711000, 71.0, 26.0, 3.0, 0.0
4712000, 78.0, 21.0, 1.0, 0.0
4713000, 68.0, 29.0, 3.0, 0.0
4714000, 75.0, 22.0, 3.0, 0.0
4715000, 81.0, 17.0, 2.0, 0.0
4716000, 77.0, 20.0, 3.0, 0.0
4717000, 73.0, 26.0, 1.0, 0.0
4718000, 78.0, 20.0, 2.0, 0.0
4719000, 75.0, 23.0, 2.0, 0.0
4720000, 71.0, 27.0, 2.0, 0.0
4721000, 73.0, 24.0, 3.0, 0.0
4722000, 70.0, 30.0, 0.0, 0.0
4723000, 67.0, 32.0, 1.0, 0.0
4724000, 75.0, 24.0, 1.0, 0.0
4725000, 72.0, 23.0, 5.0, 0.0
4726000, 72.0, 23.0, 5.0, 0.0
4727000, 66.0, 34.0, 0.0, 0.0
4728000, 72.0, 26.0, 2.0, 0.0
4729000, 72.0, 27.0, 1.0, 0.0
4730000, 70.0, 27.0, 3.0, 0.0
4731000, 72.0, 25.0, 3.0, 0.0
4732000, 73.0, 24.0, 3.0, 0.0
